resume_id,version,changed_signal,job_id,job_title,similarity_score
R6,name_changed,name,J3,Marketing Coordinator,0.5076128
R6,name_changed,name,J4,Clinical Data Analyst,0.32583615
R6,name_changed,name,J5,Academic Advisor,0.28312135
R6,pronoun_changed,pronoun,J1,Software Engineer,0.26008475
R6,pronoun_changed,pronoun,J2,Financial Analyst,0.18344903
R6,pronoun_changed,pronoun,J3,Marketing Coordinator,0.52067304
R6,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.32848996
R6,pronoun_changed,pronoun,J5,Academic Advisor,0.29366457
R6,university_changed,university,J1,Software Engineer,0.25102186
R6,university_changed,university,J2,Financial Analyst,0.19403788
R6,university_changed,university,J3,Marketing Coordinator,0.5065678
R6,university_changed,university,J4,Clinical Data Analyst,0.3217957
R6,university_changed,university,J5,Academic Advisor,0.2857071
R7,original,none,J1,Software Engineer,0.27125463
R7,original,none,J2,Financial Analyst,0.33031166
R7,original,none,J3,Marketing Coordinator,0.20384306
R7,original,none,J4,Clinical Data Analyst,0.6404631
R7,original,none,J5,Academic Advisor,0.2989984
R7,name_changed,name,J1,Software Engineer,0.2955662
R7,name_changed,name,J2,Financial Analyst,0.34493446
R7,name_changed,name,J3,Marketing Coordinator,0.19896072
R7,name_changed,name,J4,Clinical Data Analyst,0.63165945
R7,name_changed,name,J5,Academic Advisor,0.25024503
R7,pronoun_changed,pronoun,J1,Software Engineer,0.27735084
R7,pronoun_changed,pronoun,J2,Financial Analyst,0.3318702
R7,pronoun_changed,pronoun,J3,Marketing Coordinator,0.2079772
R7,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.63519394
R7,pronoun_changed,pronoun,J5,Academic Advisor,0.3110674
R7,university_changed,university,J1,Software Engineer,0.185494
R7,university_changed,university,J2,Financial Analyst,0.3132807
R7,university_changed,university,J3,Marketing Coordinator,0.19217137
R7,university_changed,university,J4,Clinical Data Analyst,0.5928333
R7,university_changed,university,J5,Academic Advisor,0.2573675
R8,original,none,J1,Software Engineer,0.20290826
R8,original,none,J2,Financial Analyst,0.30082515
R8,original,none,J3,Marketing Coordinator,0.33618322
R8,original,none,J4,Clinical Data Analyst,0.50995207
R8,original,none,J5,Academic Advisor,0.34322244
R8,name_changed,name,J1,Software Engineer,0.18717888
R8,name_changed,name,J2,Financial Analyst,0.31613532
R8,name_changed,name,J3,Marketing Coordinator,0.34318233
R8,name_changed,name,J4,Clinical Data Analyst,0.58068746
R8,name_changed,name,J5,Academic Advisor,0.34545833
R8,pronoun_changed,pronoun,J1,Software Engineer,0.19892529
R8,pronoun_changed,pronoun,J2,Financial Analyst,0.3007932
R8,pronoun_changed,pronoun,J3,Marketing Coordinator,0.33777866
R8,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.5253078
R8,pronoun_changed,pronoun,J5,Academic Advisor,0.3351022
R8,university_changed,university,J1,Software Engineer,0.18550497
R8,university_changed,university,J2,Financial Analyst,0.2982155
R8,university_changed,university,J3,Marketing Coordinator,0.33027184
R8,university_changed,university,J4,Clinical Data Analyst,0.5027799
R8,university_changed,university,J5,Academic Advisor,0.34181044
R9,original,none,J1,Software Engineer,0.16307221
R9,original,none,J2,Financial Analyst,0.11047307
R9,original,none,J3,Marketing Coordinator,0.31604308
R9,original,none,J4,Clinical Data Analyst,0.23296852
R9,original,none,J5,Academic Advisor,0.33802283
R9,name_changed,name,J1,Software Engineer,0.14432651
R9,name_changed,name,J2,Financial Analyst,0.072586626
R9,name_changed,name,J3,Marketing Coordinator,0.35759243
R9,name_changed,name,J4,Clinical Data Analyst,0.21859959
R9,name_changed,name,J5,Academic Advisor,0.38229698
R9,pronoun_changed,pronoun,J1,Software Engineer,0.16912952
R9,pronoun_changed,pronoun,J2,Financial Analyst,0.11480639
R9,pronoun_changed,pronoun,J3,Marketing Coordinator,0.3279134
R9,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.2400963
R9,pronoun_changed,pronoun,J5,Academic Advisor,0.35481375
R9,university_changed,university,J1,Software Engineer,0.16367957
R9,university_changed,university,J2,Financial Analyst,0.11283119
R9,university_changed,university,J3,Marketing Coordinator,0.31431568
R9,university_changed,university,J4,Clinical Data Analyst,0.21793532
R9,university_changed,university,J5,Academic Advisor,0.35282704
R10,original,none,J1,Software Engineer,0.18788612
R10,original,none,J2,Financial Analyst,0.17618792
R10,original,none,J3,Marketing Coordinator,0.3264565
R10,original,none,J4,Clinical Data Analyst,0.25608885
R10,original,none,J5,Academic Advisor,0.50685865
R10,name_changed,name,J1,Software Engineer,0.27509683
R10,name_changed,name,J2,Financial Analyst,0.19262272
R10,name_changed,name,J3,Marketing Coordinator,0.30669987
R10,name_changed,name,J4,Clinical Data Analyst,0.27758962
R10,name_changed,name,J5,Academic Advisor,0.47372967
R10,pronoun_changed,pronoun,J1,Software Engineer,0.1895417
R10,pronoun_changed,pronoun,J2,Financial Analyst,0.17957306
R10,pronoun_changed,pronoun,J3,Marketing Coordinator,0.33410928
R10,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.2664883
R10,pronoun_changed,pronoun,J5,Academic Advisor,0.50186247
R10,university_changed,university,J1,Software Engineer,0.20809357
R10,university_changed,university,J2,Financial Analyst,0.16697994
R10,university_changed,university,J3,Marketing Coordinator,0.3451159
R10,university_changed,university,J4,Clinical Data Analyst,0.25185418
R10,university_changed,university,J5,Academic Advisor,0.5220579
